"","Eco.Morpho","IDP","IPS"
"80",NA,NA,"Navicula cryptocephala"
"81",NA,NA,"Navicula cryptotenella"
"82",NA,NA,"Navicula cryptotenelloides"
"83",NA,NA,"Navicula cuspidata"
"84",NA,NA,"Navicula decussis"
"85",NA,NA,"Nitzschia desertorum"
"86",NA,NA,"Nitzschia dissipata var. dissipata"
"87",NA,NA,"Neidium ampliatum"
"88",NA,NA,"Neidium dubium"
"89",NA,NA,"Navicula erifuga"
"90",NA,NA,"Nitzschia fasciculata"
"91",NA,NA,"Nitzschia fonticola"
"92",NA,NA,"Navicula gregaria"
"93",NA,NA,"Nitzschia calida"
"94",NA,NA,"Nitzschia frustulum var. frustulum"
"95",NA,NA,"Nitzschia gracilis"
"96",NA,NA,"Nitzschia hungarica"
"97",NA,NA,"Nitzschia inconspicua"
"98",NA,NA,"Nitzschia intermedia"
"99",NA,NA,"Nitzschia perminuta"
"100",NA,NA,"Navicula jacobii"
"101",NA,NA,"Navicula kotschyi"
"102",NA,NA,"Navicula laevissima"
"103",NA,NA,"Navicula lanceolata"
"104",NA,NA,"Navicula lapidosa"
"105",NA,NA,"Nitzschia levidensis"
"106",NA,NA,"Nitzschia linearis var. linearis"
"107",NA,NA,"Navicula microcari"
"108",NA,NA,"Navicula menisculus var. menisculus"
"109",NA,NA,"Nitzschia microcephala"
"110",NA,NA,"Nitzschia nana"
"111",NA,NA,"Navicula novaesiberica"
"112",NA,NA,"Navicula oligotraphenta"
"113",NA,NA,"Nitzschia paleacea"
"114",NA,NA,"Nitzschia palea"
"115",NA,NA,"Nitzschia pumila"
"116",NA,NA,"Navicula salinarum var. salinarum"
"117",NA,NA,"Navicula schoenfeldii"
"118",NA,NA,"Nitzschia sinuata var. delognei"
"119",NA,NA,"Navicula schroeteri var. schroeteri"
"120",NA,NA,"Nitzschia sigma"
"121",NA,NA,"Navicula schroeteri var. symmetrica"
"122",NA,NA,"Navicula tenelloides"
"123",NA,NA,"Navicula tripunctata"
"124",NA,NA,"Navicula trivialis var. trivialis"
"125",NA,NA,"Nitzschia umbonata"
"126",NA,NA,"Navicula vandamii var. vandamii"
"127",NA,NA,"Navicula veneta"
"128",NA,NA,"Nitzschia vermicularis"
"129",NA,NA,"Navicula viridula"
"130",NA,NA,"Nitzschia valdecostata"
"131",NA,NA,"Navicula viridula var. rostellata"
"132",NA,NA,"Nitzschia angustatula"
"133",NA,NA,"Pinnularia acrospheria var. acrospheria"
"134",NA,NA,"Pinnularia brebissonii var. brebissonii"
"135",NA,NA,"Pinnularia gibba"
"136",NA,NA,"Pleurosira laevis fo. laevis"
"137",NA,NA,"Planothidium frequentissimum"
"138",NA,NA,"Pinnularia microstauron var. microstauron"
"139",NA,NA,"Placoneis placentula"
"140",NA,NA,"Planothidium rostratum"
"141",NA,NA,"Pinnularia subcapitata var. subcapitata"
"142",NA,NA,"Planothidium lanceolatum"
"143",NA,NA,"Pinnularia viridis var. viridis morphotype 1"
"144",NA,NA,"Rhoicosphenia abbreviata"
"145",NA,NA,"Rhopalodia constricta"
"146",NA,NA,"Rhopalodia gibberula"
"147",NA,NA,"Surirella angusta"
"148",NA,NA,"Surirella brebissonii var. brebissonii"
"149",NA,NA,"Simonsenia delognei"
"150",NA,NA,"Surirella ovalis"
"151",NA,NA,"Sellaphora pupula"
"152",NA,NA,"Sellaphora seminulum"
"153",NA,NA,"Surirella splendida"
"154",NA,NA,"Stauroneis brasiliensis"
"155",NA,NA,"Surirella tenera"
"156",NA,NA,"Tryblionella levidensis"
"157",NA,NA,"Ulnaria ulna"
